Author,Num of Papers,DOIs
Xun Xu,149,"['10.1101/2020.07.17.20155150', '10.1101/2020.07.15.20154443', '10.1101/2020.07.15.20154955', '10.1101/2020.07.21.214759', '10.1101/2020.07.21.214932', '10.1101/2020.07.21.214577', '10.1101/2020.07.22.215962', '10.1101/2020.07.22.216358', '10.1101/2020.07.22.213926', '10.1101/2020.07.22.216150', '10.1101/2020.07.22.215236', '10.1101/2020.07.22.215731', '10.1101/2020.07.22.215590', '10.1101/2020.07.18.20156794', '10.1101/2020.07.19.20157164', '10.1101/2020.07.18.20156745', '10.1101/2020.07.19.20157198', '10.1101/2020.07.19.20157305', '10.1101/2020.07.20.20157446', '10.1101/2020.07.19.20157115', '10.1101/2020.07.18.20156901', '10.1101/2020.07.16.20155119', '10.1101/2020.07.18.20156307', '10.1101/2020.07.02.20143032', '10.1101/2020.06.26.173203', '10.1101/2020.06.26.174193', '10.1101/2020.06.25.172528', '10.1101/2020.06.26.173765', '10.1101/2020.06.24.20139048', '10.1101/2020.06.24.20138941', '10.1101/2020.06.24.20138982', '10.1101/2020.06.24.20139196', '10.1101/2020.06.24.20139014', '10.1101/2020.06.24.20139071', '10.1101/2020.06.24.20138990', '10.1101/2020.06.24.20138925', '10.1101/2020.06.22.20137505', '10.1101/2020.06.22.20136309', '10.1101/2020.06.24.20139006', '10.1101/2020.06.25.171975', '10.1101/2020.06.25.170936', '10.1101/2020.06.23.167072', '10.1101/2020.06.25.171744', '10.1101/2020.06.24.150326', '10.1101/2020.06.24.170332', '10.1101/2020.06.25.170688', '10.1101/2020.06.25.170639', '10.1101/2020.06.13.149690', '10.1101/2020.06.13.150250', '10.1101/2020.06.14.150458', '10.1101/2020.06.14.150490', '10.1101/2020.06.10.143545', '10.1101/2020.06.10.140657', '10.1101/2020.06.10.143990', '10.1101/2020.06.12.20129494', '10.1101/2020.06.12.20129643', '10.1101/2020.06.12.20129460', '10.1101/2020.06.12.20129619', '10.1101/2020.06.12.20129536', '10.1101/2020.06.12.20129213', '10.1101/2020.06.12.20129197', '10.1101/2020.06.12.20129825', '10.1101/2020.06.12.20129387', '10.1101/2020.06.12.20129833', '10.1101/2020.06.12.20129403', '10.1101/2020.06.12.20129429', '10.1101/2020.06.11.20127241', '10.1101/2020.06.11.20128991', '10.1101/2020.06.11.20128793', '10.1101/2020.06.12.20105676', '10.1101/2020.06.09.20126607', '10.1101/2020.06.08.20124305', '10.1101/2020.06.07.20124966', '10.1101/2020.06.06.20124461', '10.1101/2020.06.07.20115188', '10.1101/2020.06.07.20120527', '10.1101/2020.05.29.20109199', '10.1101/2020.06.08.20125211', '10.1101/2020.06.04.20122093', '10.1101/2020.06.05.20123307', '10.1101/2020.06.07.20124933', '10.1101/2020.06.09.20125237', '10.1101/2020.06.08.20125120', '10.1101/2020.06.08.20125583', '10.1101/2020.06.08.20124990', '10.1101/2020.06.08.20125518', '10.1101/2020.06.09.20126110', '10.1101/2020.06.08.20125666', '10.1101/2020.06.07.20113142', '10.1101/2020.06.03.20116988', '10.1101/2020.06.03.20121210', '10.1101/2020.06.05.20109637', '10.1101/2020.06.03.20083980', '10.1101/2020.06.03.20120261', '10.1101/2020.06.04.20119131', '10.1101/2020.05.23.20100024', '10.1101/2020.05.23.20099671', '10.1101/2020.05.23.20111302', '10.1101/2020.05.20.20108159', '10.1101/2020.05.22.20110783', '10.1101/2020.05.20.20104786', '10.1101/2020.05.20.103549', '10.1101/2020.05.20.106294', '10.1101/2020.05.20.106658', '10.1101/2020.05.14.20101360', '10.1101/2020.05.14.20102475', '10.1101/2020.05.15.20102392', '10.1101/2020.05.16.20102095', '10.1101/2020.05.14.20102087', '10.1101/2020.05.13.20100784', '10.1101/2020.05.16.20102178', '10.1101/2020.05.14.20102418', '10.1101/2020.05.14.20102517', '10.1101/2020.05.17.20097410', '10.1101/2020.05.17.20073189', '10.1101/2020.05.16.20089953', '10.1101/2020.05.15.20103226', '10.1101/2020.05.15.20103275', '10.1101/2020.05.15.20102863', '10.1101/2020.04.10.022103', '10.1101/2020.04.10.20053207', '10.1101/2020.04.07.029017', '10.1101/2020.04.09.20056325', '10.1101/2020.04.06.028712', '10.1101/2020.04.07.20056945', '10.1101/2020.04.09.034454', '10.1101/2020.03.15.20036624', '10.1101/2020.03.14.20036178', '10.1101/2020.03.16.993584', '10.1101/2020.03.15.20035204', '10.1101/2020.03.10.986711', '10.1101/2020.03.14.20035980', '10.1101/2020.03.17.995639', '10.1101/2020.03.15.20034199', '10.1101/2020.03.15.20033472', '10.1101/2020.03.13.20035436', '10.1101/2020.03.13.20035386', '10.1101/2020.03.13.20035642', '10.1101/2020.03.14.20035741', '10.1101/2020.03.14.20035873', '10.1101/2020.03.14.20035956', '10.1101/2020.03.13.20035618', '10.1101/2020.03.12.20034686', '10.1101/2020.03.12.20035048', '10.1101/2020.03.13.20035329', '10.1101/2020.03.13.20035212', '10.1101/2020.03.12.20034728', '10.1101/2020.03.12.20035220', '10.1101/2020.03.13.20034496']"
Wei Li,148,"['10.1101/2020.08.21.20177246', '10.1101/2020.08.21.20166355', '10.1101/2020.08.21.20177923', '10.1101/2020.08.21.20178863', '10.1101/2020.08.22.20179507', '10.1101/2020.08.21.20179291', '10.1101/2020.08.21.20167965', '10.1101/2020.08.21.20177857', '10.1101/2020.08.21.20179200', '10.1101/2020.08.21.20179671', '10.1101/2020.08.21.20177808', '10.1101/2020.08.21.20179218', '10.1101/2020.08.21.20179663', '10.1101/2020.08.21.20179499', '10.1101/2020.08.21.20179283', '10.1101/2020.08.21.20179473', '10.1101/2020.08.22.20179770', '10.1101/2020.08.21.20178855', '10.1101/2020.08.21.20179416', '10.1101/2020.08.22.20176834', '10.1101/2020.08.22.20179697', '10.1101/2020.08.20.20177949', '10.1101/2020.08.21.262329', '10.1101/2020.08.16.20176065', '10.1101/2020.08.16.20167536', '10.1101/2020.08.16.20176230', '10.1101/2020.08.17.20176255', '10.1101/2020.08.17.20176347', '10.1101/2020.08.17.20161760', '10.1101/2020.08.17.20176271', '10.1101/2020.08.09.243246', '10.1101/2020.07.21.20159178', '10.1101/2020.07.22.20159525', '10.1101/2020.07.21.20159384', '10.1101/2020.07.21.20159335', '10.1101/2020.07.18.20156810', '10.1101/2020.07.16.20155887', '10.1101/2020.07.16.20155457', '10.1101/2020.07.09.20150086', '10.1101/2020.07.09.20150235', '10.1101/2020.07.08.20149146', '10.1101/2020.07.08.20148742', '10.1101/2020.07.02.20144857', '10.1101/2020.06.15.20117747', '10.1101/2020.06.22.20132910', '10.1101/2020.06.20.20135186', '10.1101/2020.06.22.20134270', '10.1101/2020.06.20.20136283', '10.1101/2020.06.18.20134593', '10.1101/2020.06.20.20099010', '10.1101/2020.06.14.20131078', '10.1101/2020.05.11.20092338', '10.1101/2020.05.10.20090167', '10.1101/2020.05.13.093088', '10.1101/2020.05.05.20091827', '10.1101/2020.05.05.20091645', '10.1101/2020.04.14.20064733', '10.1101/2020.04.08.20047134', '10.1101/2020.04.09.20053223', '10.1101/2020.04.09.20047498', '10.1101/2020.04.09.20056259', '10.1101/2020.04.10.023358', '10.1101/2020.04.08.20057943', '10.1101/2020.04.10.035964', '10.1101/2020.04.08.20058347', '10.1101/2020.04.08.20058297', '10.1101/2020.04.08.20057679', '10.1101/2020.04.07.20057224', '10.1101/2020.04.08.20057984', '10.1101/2020.04.07.20053439', '10.1101/2020.04.07.20056804', '10.1101/2020.04.07.20054585', '10.1101/2020.04.03.20052787', '10.1101/2020.04.04.20053173', '10.1101/2020.04.04.20053462', '10.1101/2020.04.04.20052928', '10.1101/2020.04.03.20052985', '10.1101/2020.04.04.20053546', '10.1101/2020.04.03.20052571', '10.1101/2020.04.04.20052696', '10.1101/2020.04.03.20052720', '10.1101/2020.04.03.20048389', '10.1101/2020.04.05.20051540', '10.1101/2020.04.05.20054577', '10.1101/2020.04.05.20054445', '10.1101/2020.04.06.20053918', '10.1101/2020.04.01.20047076', '10.1101/2020.03.31.20042333', '10.1101/2020.04.01.20043794', '10.1101/2020.03.31.20047621', '10.1101/2020.04.02.20046375', '10.1101/2020.03.30.20047852', '10.1101/2020.04.01.020966', '10.1101/2020.04.01.019299', '10.1101/2020.04.01.020941', '10.1101/2020.03.31.017459', '10.1101/2020.04.01.20050492', '10.1101/2020.04.01.20049833', '10.1101/2020.04.01.20049825', '10.1101/2020.03.31.20048579', '10.1101/2020.03.30.20048009', '10.1101/2020.03.27.20045757', '10.1101/2020.03.23.20041350', '10.1101/2020.03.27.20045138', '10.1101/2020.03.27.20045153', '10.1101/2020.03.27.20045336', '10.1101/2020.03.27.20045575', '10.1101/2020.03.27.20040816', '10.1101/2020.03.27.20045658', '10.1101/2020.03.28.20040097', '10.1101/2020.03.27.20045815', '10.1101/2020.03.27.20045849', '10.1101/2020.03.28.20040204', '10.1101/2020.03.29.20039529', '10.1101/2020.03.24.20042374', '10.1101/2020.03.24.20042366', '10.1101/2020.03.26.20042044', '10.1101/2020.03.24.20042168', '10.1101/2020.03.26.20041426', '10.1101/2020.03.27.20045302', '10.1101/2020.03.27.20045005', '10.1101/2020.03.27.20045237', '10.1101/2020.03.27.20045104', '10.1101/2020.03.27.20044891', '10.1101/2020.03.23.20041707', '10.1101/2020.03.22.20038919', '10.1101/2020.02.28.20029181', '10.1101/2020.03.02.20030189', '10.1101/2020.02.29.20027698', '10.1101/2020.02.25.20027755', '10.1101/2020.02.20.20025601', '10.1101/2020.02.21.20026468', '10.1101/2020.02.24.20027201', '10.1101/2020.02.22.20025320', '10.1101/2020.02.19.20025155', '10.1101/2020.02.08.939892', '10.1101/2020.02.16.20023671', '10.1101/2020.02.16.20023838', '10.1101/2020.02.16.20023804', '10.1101/2020.02.15.20023440', '10.1101/2020.02.16.20023606', '10.1101/2020.02.10.20021675', '10.1101/2020.02.09.20021477', '10.1101/2020.02.09.20021360', '10.1101/2020.02.07.937862', '10.1101/2020.02.09.20021444', '10.1101/2020.02.07.939124', '10.1101/2020.02.08.20021311']"
Jian Wang,146,"['10.1101/2020.07.17.20155150', '10.1101/2020.07.15.20154443', '10.1101/2020.07.15.20154955', '10.1101/2020.07.21.214759', '10.1101/2020.07.21.214932', '10.1101/2020.07.21.214577', '10.1101/2020.07.22.215962', '10.1101/2020.07.22.216358', '10.1101/2020.07.22.213926', '10.1101/2020.07.22.216150', '10.1101/2020.07.22.215236', '10.1101/2020.07.22.215731', '10.1101/2020.07.22.215590', '10.1101/2020.07.18.20156794', '10.1101/2020.07.19.20157164', '10.1101/2020.07.18.20156745', '10.1101/2020.07.19.20157198', '10.1101/2020.07.19.20157305', '10.1101/2020.07.20.20157446', '10.1101/2020.07.19.20157115', '10.1101/2020.07.18.20156901', '10.1101/2020.07.16.20155119', '10.1101/2020.07.18.20156307', '10.1101/2020.07.02.20143032', '10.1101/2020.07.02.20145532', '10.1101/2020.06.13.149690', '10.1101/2020.06.13.150250', '10.1101/2020.06.14.150458', '10.1101/2020.06.14.150490', '10.1101/2020.06.10.143545', '10.1101/2020.06.10.140657', '10.1101/2020.06.10.143990', '10.1101/2020.06.12.20129494', '10.1101/2020.06.12.20129643', '10.1101/2020.06.12.20129460', '10.1101/2020.06.12.20129619', '10.1101/2020.06.12.20129536', '10.1101/2020.06.12.20129213', '10.1101/2020.06.12.20129197', '10.1101/2020.06.12.20129825', '10.1101/2020.06.12.20129387', '10.1101/2020.06.12.20129833', '10.1101/2020.06.12.20129403', '10.1101/2020.06.12.20129429', '10.1101/2020.06.11.20127241', '10.1101/2020.06.11.20128991', '10.1101/2020.06.11.20128793', '10.1101/2020.06.12.20105676', '10.1101/2020.06.09.20126607', '10.1101/2020.06.09.20125690', '10.1101/2020.06.09.20126334', '10.1101/2020.06.09.20126318', '10.1101/2020.06.08.20124305', '10.1101/2020.06.07.20124966', '10.1101/2020.06.06.20124461', '10.1101/2020.06.07.20115188', '10.1101/2020.06.07.20120527', '10.1101/2020.05.29.20109199', '10.1101/2020.06.08.20125211', '10.1101/2020.06.04.20122093', '10.1101/2020.06.05.20123307', '10.1101/2020.06.07.20124933', '10.1101/2020.06.09.20125237', '10.1101/2020.06.08.20125120', '10.1101/2020.06.08.20125583', '10.1101/2020.06.08.20124990', '10.1101/2020.06.08.20125518', '10.1101/2020.06.09.20126110', '10.1101/2020.06.08.20125666', '10.1101/2020.06.07.20113142', '10.1101/2020.06.03.20116988', '10.1101/2020.06.03.20121210', '10.1101/2020.06.05.20109637', '10.1101/2020.06.03.20083980', '10.1101/2020.06.03.20120261', '10.1101/2020.06.04.20119131', '10.1101/2020.05.20.103549', '10.1101/2020.05.20.106294', '10.1101/2020.05.20.106658', '10.1101/2020.05.14.20101360', '10.1101/2020.05.14.20102475', '10.1101/2020.05.15.20102392', '10.1101/2020.05.16.20102095', '10.1101/2020.05.14.20102087', '10.1101/2020.05.13.20100784', '10.1101/2020.05.16.20102178', '10.1101/2020.05.14.20102418', '10.1101/2020.05.14.20102517', '10.1101/2020.05.17.20097410', '10.1101/2020.05.17.20073189', '10.1101/2020.05.16.20089953', '10.1101/2020.05.15.20103226', '10.1101/2020.05.15.20103275', '10.1101/2020.05.15.20102863', '10.1101/2020.05.05.20077610', '10.1101/2020.05.07.20084087', '10.1101/2020.05.07.20090225', '10.1101/2020.05.04.20087072', '10.1101/2020.05.06.20090449', '10.1101/2020.05.07.20085365', '10.1101/2020.04.09.20058941', '10.1101/2020.04.09.20058859', '10.1101/2020.04.10.022103', '10.1101/2020.04.10.20053207', '10.1101/2020.04.07.029017', '10.1101/2020.04.09.20056325', '10.1101/2020.04.06.028712', '10.1101/2020.04.07.20056945', '10.1101/2020.04.09.034454', '10.1101/2020.03.24.20042689', '10.1101/2020.03.22.20041277', '10.1101/2020.03.22.20040956', '10.1101/2020.03.22.20041111', '10.1101/2020.03.23.20041517', '10.1101/2020.03.23.20041863', '10.1101/2020.03.22.20041145', '10.1101/2020.03.22.20041004', '10.1101/2020.03.23.20041590', '10.1101/2020.03.23.20041319', '10.1101/2020.03.22.20040964', '10.1101/2020.03.19.20038984', '10.1101/2020.03.19.20039198', '10.1101/2020.03.15.20036624', '10.1101/2020.03.14.20036178', '10.1101/2020.03.15.20036707', '10.1101/2020.03.16.993584', '10.1101/2020.03.15.20035204', '10.1101/2020.03.10.986711', '10.1101/2020.03.14.20035980', '10.1101/2020.03.17.995639', '10.1101/2020.03.15.20034199', '10.1101/2020.03.15.20033472', '10.1101/2020.03.13.20035436', '10.1101/2020.03.13.20035386', '10.1101/2020.03.13.20035642', '10.1101/2020.03.14.20035741', '10.1101/2020.03.14.20035873', '10.1101/2020.03.14.20035956', '10.1101/2020.03.13.20035618', '10.1101/2020.03.12.20034686', '10.1101/2020.03.12.20035048', '10.1101/2020.03.13.20035329', '10.1101/2020.03.13.20035212', '10.1101/2020.03.12.20034728', '10.1101/2020.03.12.20035220', '10.1101/2020.03.13.20034496']"
Kenneth Baillie,141,"['10.1101/2020.09.24.20200048', '10.1101/2020.09.24.20200576', '10.1101/2020.09.24.20200790', '10.1101/2020.09.23.20165639', '10.1101/2020.09.24.20200543', '10.1101/2020.09.24.20201061', '10.1101/2020.09.24.20200667', '10.1101/2020.09.23.20200147', '10.1101/2020.09.24.20200766', '10.1101/2020.09.23.20200006', '10.1101/2020.09.24.20200782', '10.1101/2020.09.24.20200865', '10.1101/2020.09.24.20200873', '10.1101/2020.09.23.20199877', '10.1101/2020.09.24.20200436', '10.1101/2020.09.24.20201178', '10.1101/2020.09.24.20201293', '10.1101/2020.09.24.20201319', '10.1101/2020.09.25.20201376', '10.1101/2020.09.24.20200303', '10.1101/2020.09.25.20201459', '10.1101/2020.09.24.20200394', '10.1101/2020.09.25.20200956', '10.1101/2020.09.24.20201285', '10.1101/2020.09.24.20197293', '10.1101/2020.08.27.20182238', '10.1101/2020.08.14.20168088', '10.1101/2020.08.14.20175240', '10.1101/2020.08.07.20170449', '10.1101/2020.07.30.20165464', '10.1101/2020.07.17.20155218', '10.1101/2020.07.14.20153320', '10.1101/2020.07.15.20152967', '10.1101/2020.07.14.20153528', '10.1101/2020.07.15.20126730', '10.1101/2020.07.14.20153429', '10.1101/2020.07.15.20149559', '10.1101/2020.07.16.20155143', '10.1101/2020.07.15.20149617', '10.1101/2020.07.14.20153494', '10.1101/2020.07.14.20152728', '10.1101/2020.07.15.20131789', '10.1101/2020.07.15.20153098', '10.1101/2020.07.15.20147041', '10.1101/2020.07.16.20150250', '10.1101/2020.07.14.20153288', '10.1101/2020.07.16.20155069', '10.1101/2020.07.14.20153544', '10.1101/2020.07.16.20155093', '10.1101/2020.07.14.20153536', '10.1101/2020.07.15.20149195', '10.1101/2020.07.14.20151126', '10.1101/2020.07.15.20140095', '10.1101/2020.07.17.20152389', '10.1101/2020.07.16.20153593', '10.1101/2020.07.16.20154229', '10.1101/2020.07.16.20150292', '10.1101/2020.07.17.20155986', '10.1101/2020.07.16.20154088', '10.1101/2020.07.15.20151852', '10.1101/2020.07.14.202887', '10.1101/2020.07.15.176933', '10.1101/2020.07.14.203463', '10.1101/2020.07.02.20145003', '10.1101/2020.07.02.20144964', '10.1101/2020.07.02.20144873', '10.1101/2020.07.02.20144865', '10.1101/2020.07.04.187583', '10.1101/2020.06.29.20142091', '10.1101/2020.06.30.20143420', '10.1101/2020.06.30.20143388', '10.1101/2020.06.29.20143081', '10.1101/2020.06.30.20143289', '10.1101/2020.06.30.20143115', '10.1101/2020.06.30.20135343', '10.1101/2020.07.01.20144683', '10.1101/2020.06.30.20143347', '10.1101/2020.06.30.20143354', '10.1101/2020.07.02.20145185', '10.1101/2020.06.22.20137273', '10.1101/2020.06.20.163097', '10.1101/2020.06.22.164384', '10.1101/2020.06.21.163550', '10.1101/2020.06.05.134551', '10.1101/2020.06.08.138826', '10.1101/2020.06.08.140236', '10.1101/2020.05.21.20105486', '10.1101/2020.04.26.20080408', '10.1101/2020.04.24.20078774', '10.1101/2020.04.28.066977', '10.1101/2020.04.29.067983', '10.1101/2020.04.28.066951', '10.1101/2020.04.28.066985', '10.1101/2020.04.28.051789', '10.1101/2020.04.29.068767', '10.1101/2020.04.29.068890', '10.1101/2020.04.29.068486', '10.1101/2020.04.23.20076042', '10.1101/2020.04.24.20075838', '10.1101/2020.04.23.20076851', '10.1101/2020.04.23.20076976', '10.1101/2020.04.23.20076919', '10.1101/2020.04.23.20076802', '10.1101/2020.04.23.20076885', '10.1101/2020.04.23.20076935', '10.1101/2020.04.23.20076943', '10.1101/2020.04.15.20066407', '10.1101/2020.04.15.20067074', '10.1101/2020.04.15.20067058', '10.1101/2020.04.15.20066712', '10.1101/2020.04.13.20060467', '10.1101/2020.04.16.20060566', '10.1101/2020.04.14.20060491', '10.1101/2020.04.12.20060079', '10.1101/2020.04.15.20057786', '10.1101/2020.04.11.20060749', '10.1101/2020.04.11.20061366', '10.1101/2020.04.13.20060798', '10.1101/2020.04.11.20061143', '10.1101/2020.04.13.20060228', '10.1101/2020.04.13.20059253', '10.1101/2020.04.16.20061044', '10.1101/2020.04.12.20062695', '10.1101/2020.04.11.20062125', '10.1101/2020.04.13.20062802', '10.1101/2020.04.11.20061804', '10.1101/2020.04.11.20061838', '10.1101/2020.04.11.20062109', '10.1101/2020.04.11.20061473', '10.1101/2020.04.14.20059501', '10.1101/2020.04.14.20059733', '10.1101/2020.04.12.20061929', '10.1101/2020.04.12.20062166', '10.1101/2020.04.12.20062893', '10.1101/2020.04.12.20062919', '10.1101/2020.04.12.20062588', '10.1101/2020.04.11.20062232', '10.1101/2020.04.13.20063099', '10.1101/2020.04.12.20062646', '10.1101/2020.03.05.20032011', '10.1101/2020.03.05.20031906']"
Yan Li,138,"['10.1101/2020.09.28.20203455', '10.1101/2020.09.28.20203406', '10.1101/2020.09.27.316174', '10.1101/2020.08.16.20176065', '10.1101/2020.08.16.20167536', '10.1101/2020.08.16.20176230', '10.1101/2020.08.17.20176255', '10.1101/2020.08.17.20176347', '10.1101/2020.08.17.20161760', '10.1101/2020.08.17.20176271', '10.1101/2020.08.17.20176370', '10.1101/2020.08.18.20177360', '10.1101/2020.08.18.256446', '10.1101/2020.08.18.256776', '10.1101/2020.08.18.256578', '10.1101/2020.08.18.256735', '10.1101/2020.08.17.20176586', '10.1101/2020.08.17.20176610', '10.1101/2020.08.04.235747', '10.1101/2020.08.04.234880', '10.1101/2020.08.04.236653', '10.1101/2020.08.02.20159418', '10.1101/2020.07.30.20149567', '10.1101/2020.08.04.234153', '10.1101/2020.08.04.235689', '10.1101/2020.08.03.235291', '10.1101/2020.07.04.20146100', '10.1101/2020.06.21.162396', '10.1101/2020.06.14.20131078', '10.1101/2020.06.13.149930', '10.1101/2020.05.29.20114223', '10.1101/2020.05.28.122374', '10.1101/2020.05.29.20116921', '10.1101/2020.05.25.115618', '10.1101/2020.05.23.20111039', '10.1101/2020.05.22.20102525', '10.1101/2020.05.20.20107847', '10.1101/2020.05.24.20112169', '10.1101/2020.05.24.20100990', '10.1101/2020.05.25.20109058', '10.1101/2020.05.22.20110148', '10.1101/2020.05.25.20100438', '10.1101/2020.05.21.20108738', '10.1101/2020.05.22.20110163', '10.1101/2020.05.22.20109231', '10.1101/2020.05.21.20109017', '10.1101/2020.05.22.20110155', '10.1101/2020.05.22.20110254', '10.1101/2020.05.21.20108910', '10.1101/2020.05.21.20108233', '10.1101/2020.05.20.20108167', '10.1101/2020.05.20.20107540', '10.1101/2020.05.11.20094383', '10.1101/2020.05.06.20093021', '10.1101/2020.05.07.20089243', '10.1101/2020.05.07.20093286', '10.1101/2020.05.02.073411', '10.1101/2020.05.01.073171', '10.1101/2020.05.02.072439', '10.1101/2020.05.01.073387', '10.1101/2020.05.02.074021', '10.1101/2020.05.02.071811', '10.1101/2020.05.01.071050', '10.1101/2020.05.01.073262', '10.1101/2020.04.28.20082669', '10.1101/2020.04.28.20083667', '10.1101/2020.04.29.20084798', '10.1101/2020.04.29.20085100', '10.1101/2020.04.20.20065953', '10.1101/2020.04.22.055897', '10.1101/2020.04.03.20051813', '10.1101/2020.04.03.20043992', '10.1101/2020.04.03.20052001', '10.1101/2020.04.02.20051490', '10.1101/2020.04.01.20047373', '10.1101/2020.03.27.20044925', '10.1101/2020.03.27.20043752', '10.1101/2020.03.27.20045807', '10.1101/2020.03.27.20045757', '10.1101/2020.03.23.20041350', '10.1101/2020.03.27.20045138', '10.1101/2020.03.27.20045153', '10.1101/2020.03.27.20045336', '10.1101/2020.03.27.20045575', '10.1101/2020.03.27.20040816', '10.1101/2020.03.27.20045658', '10.1101/2020.03.28.20040097', '10.1101/2020.03.27.20045815', '10.1101/2020.03.27.20045849', '10.1101/2020.03.28.20040204', '10.1101/2020.03.29.20039529', '10.1101/2020.03.24.20042937', '10.1101/2020.03.15.20036293', '10.1101/2020.03.13.20035329', '10.1101/2020.03.09.20032896', '10.1101/2020.03.09.20033068', '10.1101/2020.03.08.980383', '10.1101/2020.03.10.985150', '10.1101/2020.03.08.982637', '10.1101/2020.03.10.985499', '10.1101/2020.03.06.20032425', '10.1101/2020.03.07.20032599', '10.1101/2020.03.07.20032326', '10.1101/2020.03.09.20033217', '10.1101/2020.03.06.20031377', '10.1101/2020.03.07.20031393', '10.1101/2020.03.08.20031229', '10.1101/2020.03.08.20029710', '10.1101/2020.03.06.20032334', '10.1101/2020.03.08.20032847', '10.1101/2020.03.08.20031658', '10.1101/2020.03.06.20032417', '10.1101/2020.03.07.20032573', '10.1101/2020.03.03.20030650', '10.1101/2020.03.04.20029538', '10.1101/2020.03.02.974311', '10.1101/2020.03.02.20028704', '10.1101/2020.03.02.972935', '10.1101/2020.02.25.20027755', '10.1101/2020.02.19.20025288', '10.1101/2020.02.12.20022327', '10.1101/2020.02.12.20022434', '10.1101/2020.02.11.20022228', '10.1101/2020.02.11.20022186', '10.1101/2020.02.11.20022236', '10.1101/2020.02.11.20020735', '10.1101/2020.02.11.20021493', '10.1101/2020.02.08.939553', '10.1101/2020.02.10.20021519', '10.1101/2020.02.10.20021584', '10.1101/2020.02.10.20021725', '10.1101/2020.02.11.20022095', '10.1101/2020.02.11.20021956', '10.1101/2020.02.10.20021832', '10.1101/2020.02.10.20021824', '10.1101/2020.01.28.922922', '10.1101/2020.01.25.919787', '10.1101/2020.01.25.919688']"
